0 0 0
0 0 0
2.87214e-005 7.20077e-005 2.47393e-005
9.4886e-005 0.000268032 7.89573e-005
0.000198494 0.00058808 0.000162655
0.000339549 0.00103216 0.000275833
0.000518051 0.00160029 0.000418494
0.000734006 0.00229249 0.000590641
0.000987417 0.00310879 0.000792278
0.00127829 0.00404921 0.00102341
0.00160663 0.00511379 0.00128404
0.00197245 0.00630258 0.00157417
0.00237575 0.00761562 0.00189381
0.00281654 0.00905297 0.00224298
0.00329483 0.0106147 0.00262167
0.00381064 0.0123008 0.00302989
0.00436397 0.0141114 0.00346766
0.00495484 0.0160466 0.00393499
0.00558326 0.0181064 0.00443188
0.00624924 0.0202909 0.00495834
0.00695281 0.0226002 0.0055144
0.00769397 0.0250345 0.00610006
0.00847275 0.0275937 0.00671534
0.00928915 0.030278 0.00736025
0.0101432 0.0330876 0.0080348
0.0110349 0.0360224 0.00873902
0.0119644 0.0390828 0.00947292
0.0129315 0.0422686 0.0102365
0.0139364 0.0455802 0.0110298
0.014979 0.0490176 0.0118529
0.0160594 0.052581 0.0127057
0.0171776 0.0562706 0.0135883
0.0183337 0.0600864 0.0145006
0.0195276 0.0640286 0.0154428
0.0207595 0.0680974 0.0164149
0.0220292 0.072293 0.0174168
0.0233369 0.0766156 0.0184486
0.0246826 0.0810653 0.0195103
0.0260662 0.0856423 0.0206019
0.027488 0.0903468 0.0217236
0.0289478 0.095179 0.0228752
0.0304457 0.100139 0.0240568
0.0319818 0.105227 0.0252685
0.0335561 0.110444 0.0265103
0.0351686 0.115789 0.0277821
0.0368194 0.121263 0.0290842
0.0385084 0.126866 0.0304164
0.0402359 0.132598 0.0317788
0.0420017 0.13846 0.0331714
0.0438059 0.144451 0.0345944
0.0456487 0.150573 0.0360476
0.0475299 0.156824 0.0375312
0.0494497 0.163207 0.0390452
0.0514081 0.16972 0.0405896
0.0534052 0.176364 0.0421644
0.055441 0.18314 0.0437698
0.0575155 0.190048 0.0454057
0.0596289 0.197087 0.0470721
0.0617811 0.204259 0.0487692
0.0639723 0.211564 0.050497
0.0662024 0.219001 0.0522555
0.0684715 0.226572 0.0540447
0.0707797 0.234277 0.0558647
0.0731271 0.242116 0.0577155
0.0755136 0.250089 0.0595972
0.0779394 0.258197 0.0615099
0.0804046 0.26644 0.0634535
0.0829091 0.274819 0.0654282
0.085453 0.283333 0.0674339
0.0880365 0.291984 0.0694708
0.0906595 0.300772 0.0715388
0.0933221 0.309696 0.0736381
0.0960245 0.318759 0.0757686
0.0987666 0.327959 0.0779305
0.101549 0.337298 0.0801238
0.10437 0.346775 0.0823485
0.107232 0.356393 0.0846047
0.110134 0.36615 0.0868925
0.113076 0.376047 0.0892119
0.116059 0.386085 0.0915629
0.119081 0.396264 0.0939457
0.122144 0.406586 0.0963602
0.125247 0.417049 0.0988066
0.128391 0.427656 0.101285
0.131576 0.438405 0.103795
0.134801 0.449299 0.106338
0.138067 0.460338 0.108912
0.141373 0.471521 0.111518
0.144721 0.48285 0.114157
0.14811 0.494326 0.116828
0.151539 0.505948 0.119532
0.15501 0.517718 0.122268
0.158523 0.529636 0.125036
0.162076 0.541703 0.127837
0.165671 0.553919 0.13067
0.169308 0.566286 0.133536
0.172987 0.578803 0.136435
0.176707 0.591472 0.139367
0.180469 0.604293 0.142332
0.184273 0.617267 0.145329
0.188119 0.630394 0.14836
0.192007 0.643676 0.151424
0.195937 0.657113 0.154521
0.19991 0.670707 0.157651
0.203925 0.684457 0.160815
0.207983 0.698364 0.164012
0.212084 0.71243 0.167242
0.216227 0.726655 0.170506
0.220414 0.741041 0.173804
0.224643 0.755587 0.177135
0.228916 0.770295 0.1805
0.233231 0.785166 0.183899
0.237591 0.800201 0.187332
0.241993 0.815401 0.190799
0.24644 0.830766 0.1943
0.25093 0.846298 0.197835
0.255464 0.861998 0.201405
0.260042 0.877866 0.205009
0.264664 0.893905 0.208647
0.26933 0.910114 0.212319
0.274041 0.926495 0.216027
0.278796 0.943049 0.219769
0.283596 0.959778 0.223545
0.28844 0.976682 0.227356
0.29333 0.993762 0.231203
0.298264 1.01102 0.235084
0.303244 1.02846 0.239
0.308269 1.04608 0.242951
0.31334 1.06388 0.246937
0.318456 1.08186 0.250958
0.323618 1.10002 0.255015
0.328825 1.11838 0.259107
0.334079 1.13692 0.263235
0.339379 1.15565 0.267398
0.344726 1.17457 0.271596
0.350119 1.19368 0.27583
0.355558 1.21298 0.2801
0.361044 1.23248 0.284405
0.366578 1.25217 0.288746
0.372158 1.27207 0.293123
0.377786 1.29216 0.297536
0.383461 1.31245 0.301985
0.389183 1.33295 0.306469
0.394954 1.35365 0.31099
0.400772 1.37456 0.315546
0.406638 1.39568 0.320139
0.412553 1.41701 0.324767
0.418516 1.43856 0.329432
0.424528 1.46032 0.334132
0.430588 1.48229 0.338869
0.436697 1.50449 0.343641
0.442856 1.5269 0.34845
0.449063 1.54955 0.353295
0.45532 1.57241 0.358175
0.461627 1.59551 0.363092
0.467983 1.61884 0.368044
0.47439 1.6424 0.373032
0.480846 1.6662 0.378056
0.487353 1.69023 0.383116
0.49391 1.71451 0.388211
0.500518 1.73904 0.393342
0.507177 1.76381 0.398507
0.513886 1.78883 0.403708
0.520647 1.81411 0.408944
0.527459 1.83964 0.414215
0.534323 1.86543 0.41952
0.541238 1.89149 0.42486
0.548206 1.91782 0.430234
0.555225 1.94441 0.435641
0.562296 1.97129 0.441082
0.56942 1.99844 0.446557
0.576596 2.02587 0.452064
0.583825 2.05359 0.457603
0.591107 2.0816 0.463174
0.598442 2.1099 0.468777
