0 0 0 0 0.05 0.05 0.05 -9.64881e-005 -0.0021502 -0.000989189
0.1 0.00499952 0.00498925 0.00499505 0.0499904 0.049785 0.0499011 -0.00010396 -0.00214751 -0.000988789
0.2 0.00999803 0.00995701 0.00998022 0.04998 0.0495702 0.0498022 -0.0001114 -0.00214478 -0.000988381
0.3 0.0149955 0.0149033 0.0149555 0.0499688 0.0493558 0.0497034 -0.000118808 -0.00214202 -0.000987966
0.4 0.0199918 0.0198282 0.0199209 0.0499569 0.0491415 0.0496046 -0.000126185 -0.00213922 -0.000987544
0.5 0.0249868 0.0247316 0.0248764 0.0499443 0.0489276 0.0495058 -0.000133531 -0.00213639 -0.000987114
0.6 0.0299806 0.0296137 0.0298221 0.049931 0.048714 0.0494071 -0.000140846 -0.00213353 -0.000986676
0.7 0.034973 0.0344744 0.0347578 0.0499169 0.0485006 0.0493084 -0.00014813 -0.00213063 -0.000986231
0.8 0.0399639 0.0393139 0.0396837 0.0499021 0.0482876 0.0492098 -0.000155383 -0.00212771 -0.000985778
0.9 0.0449534 0.044132 0.0445998 0.0498865 0.0480748 0.0491112 -0.000162605 -0.00212475 -0.000985317
1 0.0499412 0.0489288 0.049506 0.0498703 0.0478623 0.0490127 -0.000169797 -0.00212176 -0.000984849
1.1 0.0549274 0.0537045 0.0544023 0.0498533 0.0476502 0.0489142 -0.000176958 -0.00211874 -0.000984373
1.2 0.0599118 0.0584589 0.0592888 0.0498356 0.0474383 0.0488158 -0.000184089 -0.00211569 -0.000983889
1.3 0.0648945 0.0631921 0.0641655 0.0498172 0.0472267 0.0487174 -0.000191189 -0.00211261 -0.000983397
1.4 0.0698752 0.0679042 0.0690323 0.0497981 0.0470154 0.0486191 -0.000198259 -0.00210951 -0.000982898
1.5 0.074854 0.0725952 0.0738893 0.0497782 0.0468045 0.0485208 -0.000205299 -0.00210637 -0.00098239
1.6 0.0798308 0.0772651 0.0787365 0.0497577 0.0465939 0.0484225 -0.00021231 -0.00210321 -0.000981875
1.7 0.0848055 0.081914 0.0835738 0.0497365 0.0463835 0.0483243 -0.00021929 -0.00210002 -0.000981352
1.8 0.0897781 0.0865419 0.0884013 0.0497145 0.0461735 0.0482262 -0.000226241 -0.0020968 -0.000980821
1.9 0.0947484 0.0911487 0.0932191 0.0496919 0.0459639 0.0481281 -0.000233162 -0.00209355 -0.000980281
2 0.0997164 0.0957347 0.098027 0.0496686 0.0457545 0.0480301 -0.000240054 -0.00209028 -0.000979734
2.1 0.104682 0.1003 0.102825 0.0496446 0.0455455 0.0479321 -0.000246916 -0.00208699 -0.000979179
2.2 0.109645 0.104844 0.107613 0.0496199 0.0453368 0.0478342 -0.000253749 -0.00208367 -0.000978616
2.3 0.114606 0.109367 0.112392 0.0495945 0.0451284 0.0477363 -0.000260554 -0.00208032 -0.000978045
2.4 0.119564 0.113869 0.117161 0.0495685 0.0449204 0.0476385 -0.000267329 -0.00207695 -0.000977465
2.5 0.12452 0.118351 0.12192 0.0495417 0.0447127 0.0475408 -0.000274075 -0.00207356 -0.000976878
2.6 0.129473 0.122812 0.126669 0.0495143 0.0445053 0.0474431 -0.000280793 -0.00207014 -0.000976283
2.7 0.134423 0.127252 0.131408 0.0494863 0.0442983 0.0473455 -0.000287483 -0.0020667 -0.000975679
2.8 0.13937 0.131672 0.136138 0.0494575 0.0440916 0.0472479 -0.000294144 -0.00206324 -0.000975068
2.9 0.144314 0.136071 0.140858 0.0494281 0.0438853 0.0471504 -0.000300776 -0.00205975 -0.000974448
3 0.149255 0.140449 0.145568 0.049398 0.0436793 0.0470529 -0.000307381 -0.00205625 -0.00097382
3.1 0.154194 0.144806 0.150268 0.0493673 0.0434737 0.0469556 -0.000313958 -0.00205272 -0.000973184
