0.307165 1.88648 8.30679 -6.42505e-006 -97780.6 -1306.7 -175691 201072 -0.00020406
5.76986 0.573049 3.23121 8.50896e-006 -79739 5480.94 -34737.8 87149.7 -0.000195944
-9.38056 1.67488 -3.403 -4.5554e-005 96247.2 -14902.1 23530.2 100196 -0.000175961
-3.2791 5.58744 -9.60495 5.71561e-006 77451.6 -45229.4 204459 223266 -0.000191784
3.02961 8.14626 -1.70361 -2.94484e-005 -51530.2 -88231.3 -11265 102796 -0.000182057
4.59132 -4.26095 -9.84344 -1.57622e-005 -41562 28831.1 88477.7 101916 -0.000156628
7.44134 -5.52584 -0.940889 -7.85597e-006 -97302 16512 -9985.51 99197 -0.000177211
3.42856 -3.27284 7.70913 -6.95302e-006 -9700.19 32481.3 -71487.5 79117.6 -0.000173185
6.53734 5.36483 -8.66688 -1.36686e-005 -78261.1 3365.52 35889.3 86163.6 -0.000156505
-8.05989 -0.122523 -9.95231 -4.13088e-005 53010 48466.1 85101.2 111361 -0.000156178
-0.764055 5.09952 2.50122 -8.45866e-006 27509.5 -52187.5 -1900.98 59024.7 -0.000214138
-6.4408 9.52537 5.03175 -3.35206e-006 40848.5 -68558.4 -30880.9 85571.5 -0.000149738
-2.00422 1.52348 6.70843 -2.30269e-005 113640 19273.1 -5711.64 115404 -0.000214732
4.78591 0.849104 -0.159797 -2.49233e-006 -47518.6 -3088.98 -33529.8 58239.2 -0.000213179
-1.15206 5.3145 -7.42095 -4.24918e-005 -54479.9 -7589.62 55438.4 78096.6 -0.000201442
6.76251 -3.21162 7.75548 -3.75041e-005 -44930.4 18558.9 -55188.4 73545.5 -0.000148529
-0.00794689 -3.66315 5.96057 5.45631e-006 -8131.33 42056.8 -98384.1 107305 -0.000199761
7.63313 0.933475 -0.914523 -4.18906e-005 -98002.5 964.934 -5134.41 98141.7 -0.000171339
1.95462 9.08878 -3.07133 -6.44043e-006 2336.59 -130558 41025.1 136872 -0.000188699
0.278524 5.21925 -3.00266 -3.91926e-005 -9443.1 -47096.6 -2640.08 48106.4 -0.000208497
-5.92287 5.28783 -2.80592 1.15889e-006 64325.9 -55480.2 30764 90345.4 -0.000216308
